Filename,Modifecationdate,size,Owner,Group,uid,permission
temp/sbin/pam_extrausers_update,16-Mar-2016,35568,root,root,1,-rwxr-xr-x
temp/sbin/pam_tally,16-Mar-2016,10600,root,root,1,-rwxr-xr-x
temp/sbin/pam_tally2,16-Mar-2016,14784,root,root,1,-rwxr-xr-x
temp/sbin/parted,15-Jan-2018,80144,root,root,1,-rwxr-xr-x
temp/sbin/partprobe,15-Jan-2018,10312,root,root,1,-rwxr-xr-x
temp/sbin/pivot_root,30-Nov-2017,10568,root,root,1,-rwxr-xr-x
temp/sbin/plipconfig,30-Jun-2014,10448,root,root,1,-rwxr-xr-x
temp/sbin/plymouthd,13-Sep-2017,85728,root,root,1,-rwxr-xr-x
temp/sbin/poweroff,8-Mar-2018,14,root,root,1,lrwxrwxrwx
temp/sbin/pvchange,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/pvck,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/pvcreate,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/pvdisplay,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/pvmove,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/pvremove,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/pvresize,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/pvs,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/pvscan,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/rarp,30-Jun-2014,29800,root,root,1,-rwxr-xr-x
temp/sbin/raw,30-Nov-2017,14712,root,root,1,-rwxr-xr-x
temp/sbin/reboot,8-Mar-2018,14,root,root,1,lrwxrwxrwx
temp/sbin/regdbdump,18-Nov-2014,6280,root,root,1,-rwxr-xr-x
temp/sbin/resize2fs,30-Oct-2015,52336,root,root,1,-rwxr-xr-x
temp/sbin/resolvconf,29-Nov-2017,4590,root,root,1,-rwxr-xr-x
temp/sbin/rmmod,8-Mar-2018,9,root,root,1,lrwxrwxrwx
temp/sbin/route,30-Jun-2014,58032,root,root,1,-rwxr-xr-x
temp/sbin/rtacct,7-Dec-2017,37464,root,root,1,-rwxr-xr-x
